Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description
Factory.Calibration.ENTER_CAL_MODE_REG,"401601",Short,1,R/W,100,,,,,,,,,,"Enter Calibration Mode"
Factory.Calibration.Calibrate_Input_1.INPUT_1_CAL_REG,"401604",Short,1,R/W,100,,,,,,,,,,"Calibrate Input 1 - Use Caution"
Factory.Calibration.Calibrate_Input_2.INPUT_2_CAL_REG,"401609",Short,1,R/W,100,,,,,,,,,,"Calibrate Input 2 - Use Caution"
Factory.Calibration.Calibrate_Input_3.INPUT_3_CAL_REG,"401614",Short,1,R/W,100,,,,,,,,,,"Calibrate Input 3 - Use Caution"
Factory.Calibration.Calibrate_Rexmit_1_or_Output_1A.OUTPUT_HIGH_MA_1_REG,"401606",Short,1,R/W,100,,,,,,,,,,"20.000mA - Process Output 1A"
Factory.Calibration.Calibrate_Rexmit_1_or_Output_1A.OUTPUT_HIGH_MA_5_REG,"401626",Short,1,R/W,100,,,,,,,,,,"20.000mA - Retransmit Output 1"
Factory.Calibration.Calibrate_Rexmit_1_or_Output_1A.OUTPUT_HIGH_V_1_REG,"401608",Short,1,R/W,100,,,,,,,,,,"10.000V - Process Output 1A"
Factory.Calibration.Calibrate_Rexmit_1_or_Output_1A.OUTPUT_HIGH_V_5_REG,"401628",Short,1,R/W,100,,,,,,,,,,"10.000V - Retransmit Output 1"
Factory.Calibration.Calibrate_Rexmit_1_or_Output_1A.OUTPUT_LOW_MA_1_REG,"401605",Short,1,R/W,100,,,,,,,,,,"4.000mA - Process Output 1A"
Factory.Calibration.Calibrate_Rexmit_1_or_Output_1A.OUTPUT_LOW_MA_5_REG,"401625",Short,1,R/W,100,,,,,,,,,,"4.000mA - Retransmit Output 1"
Factory.Calibration.Calibrate_Rexmit_1_or_Output_1A.OUTPUT_LOW_V_1_REG,"401607",Short,1,R/W,100,,,,,,,,,,"1.000V - Process Output 1A"
Factory.Calibration.Calibrate_Rexmit_1_or_Output_1A.OUTPUT_LOW_V_5_REG,"401627",Short,1,R/W,100,,,,,,,,,,"1.000V - Retransmit Output 1"
Factory.Calibration.Calibrate_Rexmit_2_or_Output_1B.OUTPUT_HIGH_MA_2_REG,"401611",Short,1,R/W,100,,,,,,,,,,"20.000mA - Process Output 1B"
Factory.Calibration.Calibrate_Rexmit_2_or_Output_1B.OUTPUT_HIGH_MA_6_REG,"401631",Short,1,R/W,100,,,,,,,,,,"20.000mA - Retransmit Output 2"
Factory.Calibration.Calibrate_Rexmit_2_or_Output_1B.OUTPUT_HIGH_V_2_REG,"401613",Short,1,R/W,100,,,,,,,,,,"10.000V - Process Output 1B"
Factory.Calibration.Calibrate_Rexmit_2_or_Output_1B.OUTPUT_HIGH_V_6_REG,"416233",Short,1,R/W,100,,,,,,,,,,"10.000V - Retransmit Output 2"
Factory.Calibration.Calibrate_Rexmit_2_or_Output_1B.OUTPUT_LOW_MA_2_REG,"401610",Short,1,R/W,100,,,,,,,,,,"4.000mA - Process Output 1B"
Factory.Calibration.Calibrate_Rexmit_2_or_Output_1B.OUTPUT_LOW_MA_6_REG,"401630",Short,1,R/W,100,,,,,,,,,,"4.000mA - Retransmit Output 2"
Factory.Calibration.Calibrate_Rexmit_2_or_Output_1B.OUTPUT_LOW_V_2_REG,"401612",Short,1,R/W,100,,,,,,,,,,"1.000V - Process Output 1B"
Factory.Calibration.Calibrate_Rexmit_2_or_Output_1B.OUTPUT_LOW_V_6_REG,"401632",Short,1,R/W,100,,,,,,,,,,"1.000V - Retransmit Output 2"
Factory.Calibration.Restore_In1_Cal.RESTORE_FAC_CAL_REG,"401602",Short,1,R/W,100,,,,,,,,,,"Restore Input 1, 2 or 3 Calibration"
Factory.Calibration.Restore_In2_Cal.RESTORE_FAC_CAL_REG,"401602",Short,1,R/W,100,,,,,,,,,,"Restore Input 1, 2 or 3 Calibration"
Factory.Calibration.Restore_In3_Cal.RESTORE_FAC_CAL_REG,"401602",Short,1,R/W,100,,,,,,,,,,"Restore Input 1, 2 or 3 Calibration"
Factory.Diagnostic.CJC_COUNTS_1_REG,"401502",Short,1,RO,100,,,,,,,,,,"CJC1 AtoD"
Factory.Diagnostic.CJC_TEMP_1_REG,"401501",Short,1,RO,100,,,,,,,,,,"CJC1 Temp"
Factory.Diagnostic.ENABLE_DIAG_MODE_REG,"401513",Short,1,R/W,100,,,,,,,,,,"Enter Diagnostics Mode (1789)"
Factory.Diagnostic.INPUT_1_COUNTS,"401505",Short,1,RO,100,,,,,,,,,,"Input 1 A to D"
Factory.Diagnostic.INPUT_1_COUNTS1,"401506",Short,1,RO,100,,,,,,,,,,"Input 2 A to D"
Factory.Diagnostic.INPUT_1_COUNTS2,"401507",Short,1,RO,100,,,,,,,,,,"Input 3 A to D"
Factory.Diagnostic.INPUT_1_HW_REG,"400009",Short,1,RO,100,,,,,,,,,,"Input 1 Hardware"
Factory.Diagnostic.INPUT_2_HW_REG,"400010",Short,1,RO,100,,,,,,,,,,"Input 2 Hardware"
Factory.Diagnostic.INPUT_3_HW_REG,"400011",Short,1,RO,100,,,,,,,,,,"Input 3 Hardware"
Factory.Diagnostic.LINE_FREQUENCY_REG,"401516",Short,1,RO,100,,,,,,,,,,"Line Frequency"
Factory.Diagnostic.MFG_DATE_REG,"400006",Short,1,RO,100,,,,,,,,,,"Manufacturing Date"
Factory.Diagnostic.MODEL_REG,"400001",Short,1,RO,100,,,,,,,,,,"Model"
Factory.Diagnostic.OUTPUT_1_HW_REG,"400017",Short,1,RO,100,,,,,,,,,,"Output 1A Hardware"
Factory.Diagnostic.OUTPUT_2_HW_REG,"400018",Short,1,RO,100,,,,,,,,,,"Output 1B Hardware"
Factory.Diagnostic.OUTPUT_3_HW_REG,"400019",Short,1,RO,100,,,,,,,,,,"Output 2A Hardware"
Factory.Diagnostic.OUTPUT_4_HW_REG,"400020",Short,1,RO,100,,,,,,,,,,"Output 2B Hardware"
Factory.Diagnostic.OUTPUT_5_HW_REG,"400021",Short,1,RO,100,,,,,,,,,,"Retransmit 1 Hardware"
Factory.Diagnostic.OUTPUT_6_HW_REG,"400022",Short,1,RO,100,,,,,,,,,,"Retransmit 2 Hardware"
Factory.Diagnostic.SERIAL_NUMB_1_REG,"400002",Short,1,RO,100,,,,,,,,,,"Serial Number (first part)"
Factory.Diagnostic.SERIAL_NUMB_2_REG,"400003",Short,1,RO,100,,,,,,,,,,"Serial Number (second part)"
Factory.Diagnostic.SOFTWARE_BUILD_NUMBER_REG,"400031",Short,1,RO,100,,,,,,,,,,"Software Build"
Factory.Diagnostic.SOFTWARE_NUMBER_REG,"400004",Short,1,RO,100,,,,,,,,,,"Software Number"
Factory.Diagnostic.SOFTWARE_REV_REG,"400005",Short,1,RO,100,,,,,,,,,,"Revision"
Factory.Set_Lockout.ALARM_SP_MENU_ACCESS_REG,"401309",Short,1,R/W,100,,,,,,,,,,"Operations, Alarm Set Point- Lockouts"
Factory.Set_Lockout.AUTOTUNE_MENU_ACCESS_REG,"401307",Short,1,R/W,100,,,,,,,,,,"Operations, Autotune PID- Lockouts"
Factory.Set_Lockout.CLEAR_ALL_LOCKS_REG,"401316",Short,1,R/W,100,,,,,,,,,,"Clear Locks- Lockouts"
Factory.Set_Lockout.CONTROL_SP_MENU_ACCESS_REG,"401319",Short,1,R/W,100,,,,,,,,,,"Operations, Control Set Point- Lockouts"
Factory.Set_Lockout.FACTORY_ACCESS_REG,"401304",Short,1,R/W,100,,,,,,,,,,"Factory Page- Lockouts"
Factory.Set_Lockout.PID_CROSSOVER_ACCESS_REG,"401317",Short,1,R/W,100,,,,,,,,,,"Operations, PID Crossover- Lockouts"
Factory.Set_Lockout.PID_MENU_ACCESS_REG,"401308",Short,1,R/W,100,,,,,,,,,,"Operations, Edit PID- Lockouts"
Factory.Set_Lockout.PROFILE_MENU_ACCESS_REG,"401310",Short,1,R/W,100,,,,,,,,,,"Profiles Page - Lockouts"
Factory.Set_Lockout.RAMP_TO_SP_MENU_ACCESS_REG,"401318",Short,1,R/W,100,,,,,,,,,,"Operations, Ramp Set Point- Lockouts"
Factory.Set_Lockout.REMOTE_SP_MENU_ACCESS_REG,"401320",Short,1,R/W,100,,,,,,,,,,"Remote/Local Set Point Operation- Lockouts"
Factory.Set_Lockout.SET_PASSWORD_CHARACTER_1_REG,"401331",Short,1,R/W,100,,,,,,,,,,"Set/Change Password ( Char 1)- Lockouts"
Factory.Set_Lockout.SET_PASSWORD_CHARACTER_2_REG,"401332",Short,1,R/W,100,,,,,,,,,,"Set/Change Password ( Char 2)- Lockouts"
Factory.Set_Lockout.SET_PASSWORD_CHARACTER_3_REG,"401333",Short,1,R/W,100,,,,,,,,,,"Set/Change Password ( Char 3)- Lockouts"
